101000000011271,DREDGING CORP OF INDIA,0,1,0.05,INE506A01018,0915-1530|1815-1915:17,2021-09-23,,NSE:DREDGECORP-EQ,10,10,11271,DREDGECORP
101000000011275,TV TODAY NETWORK LTD,0,1,0.05,INE038F01029,0915-1530|1815-1915:17,2021-09-23,,NSE:TVTODAY-EQ,10,10,11275,TVTODAY
101000000011287,UPL LIMITED,0,1,0.05,INE628A01036,0915-1530|1815-1915:17,2021-09-23,,NSE:UPL-EQ,10,10,11287,UPL
10100000001129,KEERTI KNOW & SKILL LTD.,0,1,0.05,INE586X01012,0915-1530|1815-1915:17,2021-09-23,,NSE:KEERTI-EQ,10,10,1129,KEERTI
101000000011293,UNIPHOS ENTERPRISES LTD,0,1,0.05,INE037A01022,0915-1530|1815-1915:17,2021-09-23,,NSE:UNIENTER-EQ,10,10,11293,UNIENTER
101000000011298,STANDARD INDUSTRIES LTD.,0,1,0.05,INE173A01025,0915-1530|1815-1915:17,2021-09-23,,NSE:SIL-BE,10,10,11298,SIL
101000000011301,LUX INDUSTRIES LIMITED,0,1,0.05,INE150G01020,0915-1530|1815-1915:17,2021-09-23,,NSE:LUXIND-EQ,10,10,11301,LUXIND
101000000011309,BALAXI PHARMA LTD,0,1,0.05,INE618N01014,0915-1530|1815-1915:17,2021-09-23,,NSE:BALAXI-EQ,10,10,11309,BALAXI
101000000011319,LICNAMC - LICNFENGP,4,1,0.01,INF767K01OS7,0915-1530|1815-1915:17,2021-09-23,,NSE:LICNETFN50-EQ,10,10,11319,LICNETFN50
101000000011326,MUKAND LTD.,0,1,0.05,INE304A01026,0915-1530|1815-1915:17,2021-09-23,,NSE:MUKANDLTD-BE,10,10,11326,MUKANDLTD
10100000001134,APOLLO MICRO SYSTEMS LTD,0,1,0.05,INE713T01010,0915-1530|1815-1915:17,2021-09-23,,NSE:APOLLO-EQ,10,10,1134,APOLLO
101000000011343,AFFLE (INDIA) LIMITED,0,1,0.05,INE00WC01019,0915-1530|1815-1915:17,2021-09-23,,NSE:AFFLE-EQ,10,10,11343,AFFLE
101000000011351,PETRONET LNG LIMITED,0,1,0.05,INE347G01014,0915-1530|1815-1915:17,2021-09-23,,NSE:PETRONET-EQ,10,10,11351,PETRONET
101000000011355,PTC INDIA LIMITED,0,1,0.05,INE877F01012,0915-1530|1815-1915:17,2021-09-23,,NSE:PTC-EQ,10,10,11355,PTC
101000000011359,DHANLAXMI BANK LIMITED,0,1,0.05,INE680A01011,0915-1530|1815-1915:17,2021-09-23,,NSE:DHANBANK-EQ,10,10,11359,DHANBANK
101000000011364,VAIBHAV GLOBAL LIMITED,0,1,0.05,INE884A01027,0915-1530|1815-1915:17,2021-09-23,,NSE:VAIBHAVGBL-EQ,10,10,11364,VAIBHAVGBL
101000000011369,TTK HEALTHCARE LIMITED,0,1,0.05,INE910C01018,0915-1530|1815-1915:17,2021-09-23,,NSE:TTKHLTCARE-EQ,10,10,11369,TTKHLTCARE
101000000011373,BIOCON LIMITED.,0,1,0.05,INE376G01013,0915-1530|1815-1915:17,2021-09-23,,NSE:BIOCON-EQ,10,10,11373,BIOCON
101000000011377,BANK OF MAHARASHTRA,0,1,0.05,INE457A01014,0915-1530|1815-1915:17,2021-09-23,,NSE:MAHABANK-EQ,10,10,11377,MAHABANK
101000000011386,ICICIPRAMC - ICICIBANKP,4,1,0.01,INF109KC1E35,0915-1530|1815-1915:17,2021-09-23,,NSE:ICICIBANKP-EQ,10,10,11386,ICICIBANKP
101000000011387,UMANG DAIRIES LIMITED,0,1,0.05,INE864B01027,0915-1530|1815-1915:17,2021-09-23,,NSE:UMANGDAIRY-EQ,10,10,11387,UMANGDAIRY
10100000001139,GIC HOUSING FINANCE LTD,0,1,0.05,INE289B01019,0915-1530|1815-1915:17,2021-09-23,,NSE:GICHSGFIN-EQ,10,10,1139,GICHSGFIN
101000000011394,ZOTA HEALTH CARE LIMITED,0,1,0.05,INE358U01012,0915-1530|1815-1915:17,2021-09-23,,NSE:ZOTA-EQ,10,10,11394,ZOTA
101000000011399,SALZER ELECTRONICS LTD,0,1,0.05,INE457F01013,0915-1530|1815-1915:17,2021-09-23,,NSE:SALZERELEC-EQ,10,10,11399,SALZERELEC
101000000011406,POONAWALLA FINCORP LTD,0,1,0.05,INE511C01022,0915-1530|1815-1915:17,2021-09-23,,NSE:POONAWALLA-BE,10,10,11406,POONAWALLA
101000000011407,XPRO INDIA LIMITED,0,1,0.05,INE445C01015,0915-1530|1815-1915:17,2021-09-23,,NSE:XPROINDIA-EQ,10,10,11407,XPROINDIA
101000000011411,RAMKRISHNA FORGINGS LTD,0,1,0.05,INE399G01015,0915-1530|1815-1915:17,2021-09-23,,NSE:RKFORGE-EQ,10,10,11411,RKFORGE
10100000001142,GINNI FILAMENTS LTD,0,1,0.05,INE424C01010,0915-1530|1815-1915:17,2021-09-23,,NSE:GINNIFILA-EQ,10,10,1142,GINNIFILA
101000000011423,DATAMATICS GLOBAL SER LTD,0,1,0.05,INE365B01017,0915-1530|1815-1915:17,2021-09-23,,NSE:DATAMATICS-EQ,10,10,11423,DATAMATICS
101000000011427,NDTV LTD,0,1,0.05,INE155G01029,0915-1530|1815-1915:17,2021-09-23,,NSE:NDTV-EQ,10,10,11427,NDTV
10100000001143,NIPPON INDIA- NIMFXX,4,1,0.01,INF204KB18W4,0915-1530|1815-1915:17,2021-09-23,,NSE:NCPSESDL24-EQ,10,10,1143,NCPSESDL24
101000000011435,SPANDANA SPHOORTY FIN LTD,0,1,0.05,INE572J01011,0915-1530|1815-1915:17,2021-09-23,,NSE:SPANDANA-EQ,10,10,11435,SPANDANA
101000000011439,NIP IND ETF BANK BEES,4,1,0.01,INF204KB15I9,0915-1530|1815-1915:17,2021-09-23,,NSE:BANKBEES-EQ,10,10,11439,BANKBEES
101000000011441,LICNAMC - LICNFESGP,4,1,0.01,INF767K01OT5,0915-1530|1815-1915:17,2021-09-23,,NSE:LICNETFSEN-EQ,10,10,11441,LICNETFSEN
101000000011445,PILANI INV & IND COR LTD,0,1,0.05,INE417C01014,0915-1530|1815-1915:17,2021-09-23,,NSE:PILANIINVS-EQ,10,10,11445,PILANIINVS
101000000011446,SPICEJET LIMITED,0,1,0.05,INE285B01017,0915-1530|1815-1915:17,2021-09-23,,NSE:SPICEJET-EQ,10,10,11446,SPICEJET
10100000001145,GUJ IND POW CO. LTD,0,1,0.05,INE162A01010,0915-1530|1815-1915:17,2021-09-23,,NSE:GIPCL-EQ,10,10,1145,GIPCL
101000000011452,CCL PRODUCTS (I) LTD,0,1,0.05,INE421D01022,0915-1530|1815-1915:17,2021-09-23,,NSE:CCL-EQ,10,10,11452,CCL
101000000011457,KOTAKMAMC - KTKNV20ETF,4,1,0.01,INF174K01Z71,0915-1530|1815-1915:17,2021-09-23,,NSE:KOTAKNV20-EQ,10,10,11457,KOTAKNV20
